Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;0;0;919.5;null;19.8;18.2;null;86;14;2.1;5
01/01/2000;1200;null;null;null;6;0;917.7;null;24;19;null;63;9;7.5;70
01/01/2000;1800;null;null;null;6;0;916.7;null;27.2;19.6;null;50;14;3.6;70
02/01/2000;0;null;null;null;0;0;918.9;null;19.4;18.4;null;91;14;3.1;5
02/01/2000;1200;null;null;null;7;0;919;null;24;19;null;63;14;2.5;70
02/01/2000;1800;null;null;null;8;0;916.3;null;27;20;null;54;9;3.3;70
03/01/2000;0;null;null;null;10;0;918.5;null;20.6;19.4;null;90;14;1.1;5
03/01/2000;1200;null;null;null;5;0;918.9;null;24;20;null;70;14;1.6;70
03/01/2000;1800;null;null;null;6;0;916.7;null;null;null;null;null;18;5;70
04/01/2000;0;null;null;null;0;0;918.4;null;null;null;null;null;14;3.8;5
04/01/2000;1200;null;null;null;10;0.5;920.2;null;null;null;null;null;14;3.3;70
04/01/2000;1800;null;null;null;10;9.4;918.6;null;null;null;null;null;14;3;70
05/01/2000;0;null;null;null;10;1.5;919.8;null;null;null;null;null;14;1.3;5
05/01/2000;1200;null;null;null;8;0;920.6;null;null;null;null;null;14;2.8;70
05/01/2000;1800;null;null;null;10;4.5;918.6;null;null;null;null;null;14;3.8;70
06/01/2000;0;null;null;null;10;0;919.9;null;null;null;null;null;14;1.1;5
06/01/2000;1200;null;null;null;10;0;920.5;null;null;null;null;null;9;3.3;70
06/01/2000;1800;null;null;null;10;9.7;918.6;null;null;null;null;null;5;3.3;50
07/01/2000;0;null;null;null;10;1.9;920.1;null;null;null;null;null;14;1.8;5
07/01/2000;1200;null;null;null;10;0;920.7;null;null;null;null;null;14;2.6;60
07/01/2000;1800;null;null;null;7;0;917.9;null;null;null;null;null;14;3.5;70
08/01/2000;0;null;null;null;9;0;918.9;null;null;null;null;null;14;4.8;5
08/01/2000;1200;null;null;null;10;0;920;null;null;null;null;null;14;1.6;60
08/01/2000;1800;null;null;null;10;2.2;918.6;null;null;null;null;null;14;2.3;50
09/01/2000;0;null;null;null;10;6.2;920;null;null;null;null;null;14;1;5
09/01/2000;1200;null;null;null;10;7.2;921.5;null;null;null;null;null;14;1.5;60
09/01/2000;1800;null;null;null;9;0;919;null;null;null;null;null;14;3.8;70
10/01/2000;0;null;null;null;9;0.8;921.6;null;null;null;null;null;14;4.1;5
10/01/2000;1200;null;null;null;7;0;920.5;null;null;null;null;null;14;5;70
10/01/2000;1800;null;null;null;5;0;918;null;null;null;null;null;18;3.3;70
11/01/2000;0;null;null;null;3;0;920.6;null;null;null;null;null;14;0.8;5
11/01/2000;1200;null;null;null;3;0;920.5;null;22.6;21.8;null;93;14;3;70
11/01/2000;1800;null;null;null;3;0;918.4;null;26.4;26.4;null;100;14;2.5;70
12/01/2000;0;null;null;null;10;0;919.4;null;20.2;20;null;98;14;2;5
12/01/2000;1200;null;null;null;9;1.2;920.3;null;20.8;20.6;null;98;18;3;70
12/01/2000;1800;null;null;null;9;0;917.5;null;25.6;25;null;95;18;3.3;70
13/01/2000;0;null;null;null;10;21.4;919.8;null;20.4;20.4;null;100;14;3.3;null
13/01/2000;1200;null;null;null;10;0.1;921.4;null;21.4;20.2;null;90;18;3.3;60
13/01/2000;1800;null;null;null;9;0;919.4;null;23.4;22.2;null;90;14;4.5;70
14/01/2000;0;null;null;null;10;0;920;null;21;20.6;null;97;14;3;5
14/01/2000;1200;null;null;null;10;0;919.5;null;22.4;21.4;null;92;14;3.3;70
14/01/2000;1800;null;null;null;10;1.8;917.6;null;22;21.6;null;97;14;4.6;60
15/01/2000;0;null;null;null;10;8.6;918.9;null;19.8;19.6;null;98;14;2.5;2
15/01/2000;1200;null;null;null;9;2.5;919.6;null;22.8;21;null;86;14;2;70
15/01/2000;1800;null;null;null;7;2.8;917.1;null;24;22.2;null;86;14;3;70
16/01/2000;0;null;null;null;1;0;918.7;null;20;19.6;null;96;14;0.7;5
16/01/2000;1200;null;null;null;1;0;919.2;null;22.6;21.4;null;90;14;2.5;70
16/01/2000;1800;null;null;null;6;0;917.3;null;27.2;25.6;null;88;18;3.3;70
17/01/2000;0;null;null;null;10;0;919.7;null;21.4;21.4;null;100;14;5.5;5
17/01/2000;1200;null;null;null;4;0;920.8;null;23.6;22;null;87;9;4.8;70
17/01/2000;1800;null;null;null;4;0;918.5;null;28.2;27.2;null;93;18;1.3;70
